threshold,accuracy,precision,recall,f1
0.01,0.9710327455919395,0.9646697388632872,1.0,0.982017200938233
0.02,0.9760705289672544,0.9720930232558139,0.9984076433121019,0.9850746268656716
0.03,0.9798488664987406,0.9766355140186916,0.9984076433121019,0.9874015748031496
0.04,0.9811083123425692,0.9781591263650546,0.9984076433121019,0.9881796690307328
0.05,0.982367758186398,0.9811912225705329,0.9968152866242038,0.9889415481832543
0.06,0.982367758186398,0.9811912225705329,0.9968152866242038,0.9889415481832543
0.07,0.9848866498740554,0.9842767295597484,0.9968152866242038,0.990506329113924
0.08,0.9874055415617129,0.9873817034700315,0.9968152866242038,0.9920760697305864
0.09,0.9874055415617129,0.9873817034700315,0.9968152866242038,0.9920760697305864
0.1,0.9874055415617129,0.9873817034700315,0.9968152866242038,0.9920760697305864
0.11,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.12,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.13,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.14,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.15,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.16,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.17,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.18,0.9899244332493703,0.990506329113924,0.9968152866242038,0.9936507936507937
0.19,0.9899244332493703,0.990506329113924,0.9968152866242038,0.9936507936507937
0.2,0.9899244332493703,0.990506329113924,0.9968152866242038,0.9936507936507937
0.21,0.9899244332493703,0.990506329113924,0.9968152866242038,0.9936507936507937
0.22,0.9899244332493703,0.990506329113924,0.9968152866242038,0.9936507936507937
0.23,0.9886649874055415,0.9904912836767037,0.9952229299363057,0.9928514694201748
0.24,0.9886649874055415,0.9904912836767037,0.9952229299363057,0.9928514694201748
0.25,0.9899244332493703,0.9920634920634921,0.9952229299363057,0.9936406995230525
0.26,0.9899244332493703,0.9920634920634921,0.9952229299363057,0.9936406995230525
0.27,0.9899244332493703,0.9920634920634921,0.9952229299363057,0.9936406995230525
0.28,0.9899244332493703,0.9920634920634921,0.9952229299363057,0.9936406995230525
0.29,0.9899244332493703,0.9920634920634921,0.9952229299363057,0.9936406995230525
0.3,0.9886649874055415,0.9920508744038156,0.9936305732484076,0.9928400954653938
0.31,0.9886649874055415,0.9920508744038156,0.9936305732484076,0.9928400954653938
0.32,0.9886649874055415,0.9920508744038156,0.9936305732484076,0.9928400954653938
0.33,0.9886649874055415,0.9920508744038156,0.9936305732484076,0.9928400954653938
0.34,0.9874055415617129,0.9920382165605095,0.9920382165605095,0.9920382165605095
0.35000000000000003,0.9874055415617129,0.9920382165605095,0.9920382165605095,0.9920382165605095
0.36,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.37,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.38,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.39,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.4,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.41000000000000003,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.42,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.43,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.44,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.45,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.46,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.47000000000000003,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.48,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.49,0.9848866498740554,0.9920127795527156,0.9888535031847133,0.9904306220095693
0.5,0.9848866498740554,0.9920127795527156,0.9888535031847133,0.9904306220095693
0.51,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.52,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.53,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.54,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.55,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.56,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.5700000000000001,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.58,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.59,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
