threshold,accuracy,precision,recall,f1
0.01,0.8879093198992444,0.8758716875871687,1.0,0.9338289962825279
0.02,0.8979848866498741,0.8857545839210155,1.0,0.9394166043380703
0.03,0.9042821158690176,0.8920454545454546,1.0,0.9429429429429429
0.04,0.9130982367758187,0.9010043041606887,1.0,0.9479245283018868
0.05,0.9168765743073047,0.9048991354466859,1.0,0.9500756429652042
0.06,0.9206549118387909,0.9088277858176556,1.0,0.9522365428354814
0.07,0.9256926952141058,0.9141193595342066,1.0,0.9551330798479087
0.08,0.9269521410579346,0.9154518950437318,1.0,0.9558599695585996
0.09,0.9332493702770781,0.922173274596182,1.0,0.959511077158136
0.1,0.9332493702770781,0.922173274596182,1.0,0.959511077158136
0.11,0.9357682619647355,0.9248895434462445,1.0,0.9609793420045907
0.12,0.9370277078085643,0.9262536873156342,1.0,0.9617151607963247
0.13,0.9420654911838791,0.9317507418397626,1.0,0.9646697388632872
0.14,0.9483627204030227,0.9387144992526159,1.0,0.9683885890516577
0.15,0.9496221662468514,0.9401197604790419,1.0,0.9691358024691358
0.16,0.9508816120906801,0.9415292353823088,1.0,0.9698841698841699
0.17,0.9521410579345088,0.9429429429429429,1.0,0.9706336939721792
0.18,0.9571788413098237,0.9486404833836858,1.0,0.9736434108527132
0.19,0.9596977329974811,0.9515151515151515,1.0,0.9751552795031055
0.2,0.9596977329974811,0.9515151515151515,1.0,0.9751552795031055
0.21,0.9596977329974811,0.9515151515151515,1.0,0.9751552795031055
0.22,0.9622166246851386,0.9544072948328267,1.0,0.9766718506998445
0.23,0.9634760705289672,0.9558599695585996,1.0,0.977431906614786
0.24,0.964735516372796,0.9573170731707317,1.0,0.9781931464174455
0.25,0.9685138539042821,0.9617151607963247,1.0,0.9804839968774395
0.26,0.9710327455919395,0.9646697388632872,1.0,0.982017200938233
0.27,0.9710327455919395,0.9646697388632872,1.0,0.982017200938233
0.28,0.9722921914357683,0.9675925925925926,0.9984076433121019,0.9827586206896551
0.29,0.9748110831234257,0.9705882352941176,0.9984076433121019,0.9843014128728415
0.3,0.9748110831234257,0.9705882352941176,0.9984076433121019,0.9843014128728415
0.31,0.9773299748110831,0.9736024844720497,0.9984076433121019,0.9858490566037735
0.32,0.9785894206549118,0.9751166407465007,0.9984076433121019,0.9866247049567269
0.33,0.9798488664987406,0.9766355140186916,0.9984076433121019,0.9874015748031496
0.34,0.9811083123425692,0.9781591263650546,0.9984076433121019,0.9881796690307328
0.35000000000000003,0.9811083123425692,0.9781591263650546,0.9984076433121019,0.9881796690307328
0.36,0.982367758186398,0.9811912225705329,0.9968152866242038,0.9889415481832543
0.37,0.982367758186398,0.9811912225705329,0.9968152866242038,0.9889415481832543
0.38,0.9861460957178841,0.9858267716535433,0.9968152866242038,0.9912905779889153
0.39,0.9874055415617129,0.9873817034700315,0.9968152866242038,0.9920760697305864
0.4,0.9874055415617129,0.9873817034700315,0.9968152866242038,0.9920760697305864
0.41000000000000003,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.42,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.43,0.9886649874055415,0.9889415481832543,0.9968152866242038,0.992862807295797
0.44,0.9899244332493703,0.990506329113924,0.9968152866242038,0.9936507936507937
0.45,0.9899244332493703,0.990506329113924,0.9968152866242038,0.9936507936507937
0.46,0.9899244332493703,0.9920634920634921,0.9952229299363057,0.9936406995230525
0.47000000000000003,0.9899244332493703,0.9920634920634921,0.9952229299363057,0.9936406995230525
0.48,0.9886649874055415,0.9920508744038156,0.9936305732484076,0.9928400954653938
0.49,0.9874055415617129,0.9920382165605095,0.9920382165605095,0.9920382165605095
0.5,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.51,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.52,0.9861460957178841,0.9920255183413078,0.9904458598726115,0.9912350597609562
0.53,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.54,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.55,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.56,0.9836272040302267,0.992,0.9872611464968153,0.9896249002394254
0.5700000000000001,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.58,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.59,0.982367758186398,0.9919871794871795,0.9856687898089171,0.9888178913738019
0.6,0.9811083123425692,0.9919743178170144,0.9840764331210191,0.988009592326139
0.61,0.9798488664987406,0.9935483870967742,0.9808917197452229,0.9871794871794872
0.62,0.9811083123425692,0.9951534733441034,0.9808917197452229,0.9879711307137129
0.63,0.9785894206549118,0.9967479674796748,0.9761146496815286,0.9863234111021721
0.64,0.9773299748110831,0.996742671009772,0.9745222929936306,0.9855072463768116
0.65,0.9760705289672544,0.9967373572593801,0.9729299363057324,0.984689766317486
0.66,0.9748110831234257,0.9967320261437909,0.9713375796178344,0.9838709677419355
0.67,0.9735516372795969,0.9967266775777414,0.9697452229299363,0.9830508474576272
0.68,0.9735516372795969,0.9983579638752053,0.9681528662420382,0.9830234438156831
0.6900000000000001,0.9722921914357683,0.9983552631578947,0.9665605095541401,0.982200647249191
0.7000000000000001,0.9710327455919395,0.9983525535420099,0.964968152866242,0.9813765182186235
0.71,0.9710327455919395,0.9983525535420099,0.964968152866242,0.9813765182186235
0.72,0.9697732997481109,0.9983498349834984,0.9633757961783439,0.9805510534846029
0.73,0.9697732997481109,0.9983498349834984,0.9633757961783439,0.9805510534846029
0.74,0.9697732997481109,0.9983498349834984,0.9633757961783439,0.9805510534846029
0.75,0.9672544080604534,0.9983443708609272,0.9601910828025477,0.9788961038961039
0.76,0.9659949622166247,0.9983416252072969,0.9585987261146497,0.9780666125101544
0.77,0.964735516372796,0.9983388704318937,0.9570063694267515,0.9772357723577236
0.78,0.9634760705289672,0.9983361064891847,0.9554140127388535,0.9764035801464606
0.79,0.9609571788413098,0.998330550918197,0.9522292993630573,0.9747351263243684
0.8,0.9609571788413098,0.998330550918197,0.9522292993630573,0.9747351263243684
0.81,0.9609571788413098,0.998330550918197,0.9522292993630573,0.9747351263243684
0.8200000000000001,0.9584382871536524,1.0,0.947452229299363,0.9730171708912511
0.8300000000000001,0.9559193954659949,1.0,0.9442675159235668,0.9713349713349714
0.84,0.9559193954659949,1.0,0.9442675159235668,0.9713349713349714
0.85,0.9534005037783375,1.0,0.9410828025477707,0.9696472518457753
0.86,0.9534005037783375,1.0,0.9410828025477707,0.9696472518457753
0.87,0.9508816120906801,1.0,0.9378980891719745,0.9679539852095317
0.88,0.9496221662468514,1.0,0.9363057324840764,0.9671052631578947
0.89,0.947103274559194,1.0,0.9331210191082803,0.9654036243822076
0.9,0.9445843828715366,1.0,0.9299363057324841,0.9636963696369637
0.91,0.9445843828715366,1.0,0.9299363057324841,0.9636963696369637
0.92,0.9445843828715366,1.0,0.9299363057324841,0.9636963696369637
0.93,0.9420654911838791,1.0,0.9267515923566879,0.9619834710743802
0.9400000000000001,0.9357682619647355,1.0,0.9187898089171974,0.9576763485477179
0.9500000000000001,0.9319899244332494,1.0,0.9140127388535032,0.9550748752079867
0.96,0.929471032745592,1.0,0.910828025477707,0.9533333333333334
0.97,0.9231738035264484,1.0,0.9028662420382165,0.9489539748953975
0.98,0.9168765743073047,1.0,0.8949044585987261,0.9445378151260504
0.99,0.9130982367758187,1.0,0.8901273885350318,0.9418702611625948
1.0,0.9130982367758187,1.0,0.8901273885350318,0.9418702611625948
